tile_m,tile_n,tile_k,tile_a_bytes,tile_b_bytes,tile_c_bytes,total_tile_bytes,tile_bytes_over_l1,tile_bytes_over_l2,arithmetic_intensity,tile_m_vector_aligned,tile_n_vector_aligned,objective,valid,candidate
128.0,2.0,128.0,65536.0,1024.0,1024.0,67584.0,2.0625,0.2578125,0.9696969696969697,1.0,0.0,0.9021415859460831,True,"{'tile_m': '128', 'tile_n': '2', 'tile_k': '128'}"
1.0,1.0,16.0,64.0,64.0,4.0,132.0,0.0040283203125,0.0005035400390625,0.24242424242424243,0.0,0.0,0.8840265832841396,True,"{'tile_m': '1', 'tile_n': '1', 'tile_k': '16'}"
128.0,64.0,2.0,1024.0,512.0,32768.0,34304.0,1.046875,0.130859375,0.9552238805970149,1.0,1.0,,False,"{'tile_m': '128', 'tile_n': '64', 'tile_k': '2'}"
128.0,16.0,64.0,32768.0,4096.0,8192.0,45056.0,1.375,0.171875,5.818181818181818,1.0,1.0,,False,"{'tile_m': '128', 'tile_n': '16', 'tile_k': '64'}"
128.0,128.0,2.0,1024.0,1024.0,65536.0,67584.0,2.0625,0.2578125,0.9696969696969697,1.0,1.0,,False,"{'tile_m': '128', 'tile_n': '128', 'tile_k': '2'}"
16.0,1.0,8.0,512.0,32.0,64.0,608.0,0.0185546875,0.0023193359375,0.42105263157894735,1.0,0.0,0.7925890795886517,True,"{'tile_m': '16', 'tile_n': '1', 'tile_k': '8'}"
4.0,128.0,16.0,256.0,8192.0,2048.0,10496.0,0.3203125,0.0400390625,1.5609756097560976,0.0,1.0,0.8137149922549725,True,"{'tile_m': '4', 'tile_n': '128', 'tile_k': '16'}"
8.0,1.0,64.0,2048.0,256.0,32.0,2336.0,0.0712890625,0.0089111328125,0.4383561643835616,1.0,0.0,0.8698686845600605,True,"{'tile_m': '8', 'tile_n': '1', 'tile_k': '64'}"
16.0,2.0,8.0,512.0,64.0,128.0,704.0,0.021484375,0.002685546875,0.7272727272727273,1.0,0.0,0.8942131660878658,True,"{'tile_m': '16', 'tile_n': '2', 'tile_k': '8'}"
128.0,2.0,8.0,4096.0,64.0,1024.0,5184.0,0.158203125,0.019775390625,0.7901234567901234,1.0,0.0,,False,"{'tile_m': '128', 'tile_n': '2', 'tile_k': '8'}"
32.0,8.0,2.0,256.0,64.0,1024.0,1344.0,0.041015625,0.005126953125,0.7619047619047619,1.0,1.0,0.8554223328828812,True,"{'tile_m': '32', 'tile_n': '8', 'tile_k': '2'}"
1.0,4.0,4.0,16.0,64.0,16.0,96.0,0.0029296875,0.0003662109375,0.3333333333333333,0.0,0.0,0.7568030580878258,True,"{'tile_m': '1', 'tile_n': '4', 'tile_k': '4'}"
2.0,16.0,4.0,32.0,256.0,128.0,416.0,0.0126953125,0.0015869140625,0.6153846153846154,0.0,1.0,0.853645097464323,True,"{'tile_m': '2', 'tile_n': '16', 'tile_k': '4'}"
64.0,64.0,128.0,32768.0,32768.0,16384.0,81920.0,2.5,0.3125,12.8,1.0,1.0,,False,"{'tile_m': '64', 'tile_n': '64', 'tile_k': '128'}"
1.0,4.0,2.0,8.0,32.0,16.0,56.0,0.001708984375,0.000213623046875,0.2857142857142857,0.0,0.0,0.8932995609939098,True,"{'tile_m': '1', 'tile_n': '4', 'tile_k': '2'}"
8.0,32.0,32.0,1024.0,4096.0,1024.0,6144.0,0.1875,0.0234375,2.6666666666666665,1.0,1.0,0.8276361003518105,True,"{'tile_m': '8', 'tile_n': '32', 'tile_k': '32'}"
1.0,4.0,128.0,512.0,2048.0,16.0,2576.0,0.07861328125,0.00982666015625,0.39751552795031053,0.0,0.0,0.7748144641518593,True,"{'tile_m': '1', 'tile_n': '4', 'tile_k': '128'}"
1.0,16.0,8.0,32.0,512.0,64.0,608.0,0.0185546875,0.0023193359375,0.42105263157894735,0.0,1.0,0.7570788078010082,True,"{'tile_m': '1', 'tile_n': '16', 'tile_k': '8'}"
128.0,4.0,1.0,512.0,16.0,2048.0,2576.0,0.07861328125,0.00982666015625,0.39751552795031053,1.0,0.0,,False,"{'tile_m': '128', 'tile_n': '4', 'tile_k': '1'}"
1.0,16.0,128.0,512.0,8192.0,64.0,8768.0,0.267578125,0.033447265625,0.46715328467153283,0.0,1.0,0.8466314263641834,True,"{'tile_m': '1', 'tile_n': '16', 'tile_k': '128'}"
1.0,16.0,4.0,16.0,256.0,64.0,336.0,0.01025390625,0.00128173828125,0.38095238095238093,0.0,1.0,0.7506965175271034,True,"{'tile_m': '1', 'tile_n': '16', 'tile_k': '4'}"
1.0,16.0,1.0,4.0,64.0,64.0,132.0,0.0040283203125,0.0005035400390625,0.24242424242424243,0.0,1.0,0.8268678076565266,True,"{'tile_m': '1', 'tile_n': '16', 'tile_k': '1'}"
2.0,8.0,1.0,8.0,32.0,64.0,104.0,0.003173828125,0.000396728515625,0.3076923076923077,0.0,1.0,0.8527562916278839,True,"{'tile_m': '2', 'tile_n': '8', 'tile_k': '1'}"
1.0,16.0,2.0,8.0,128.0,64.0,200.0,0.006103515625,0.000762939453125,0.32,0.0,1.0,0.8679126314818859,True,"{'tile_m': '1', 'tile_n': '16', 'tile_k': '2'}"
1.0,128.0,4.0,16.0,2048.0,512.0,2576.0,0.07861328125,0.00982666015625,0.39751552795031053,0.0,1.0,0.8035303726792336,True,"{'tile_m': '1', 'tile_n': '128', 'tile_k': '4'}"
1.0,32.0,4.0,16.0,512.0,128.0,656.0,0.02001953125,0.00250244140625,0.3902439024390244,0.0,1.0,0.8267956934869289,True,"{'tile_m': '1', 'tile_n': '32', 'tile_k': '4'}"
1.0,8.0,4.0,16.0,128.0,32.0,176.0,0.00537109375,0.00067138671875,0.36363636363636365,0.0,1.0,0.7486958280205727,True,"{'tile_m': '1', 'tile_n': '8', 'tile_k': '4'}"
1.0,64.0,4.0,16.0,1024.0,256.0,1296.0,0.03955078125,0.00494384765625,0.3950617283950617,0.0,1.0,0.8160216249525547,True,"{'tile_m': '1', 'tile_n': '64', 'tile_k': '4'}"
4.0,128.0,1.0,16.0,512.0,2048.0,2576.0,0.07861328125,0.00982666015625,0.39751552795031053,0.0,1.0,0.8069327995181084,True,"{'tile_m': '4', 'tile_n': '128', 'tile_k': '1'}"
1.0,32.0,8.0,32.0,1024.0,128.0,1184.0,0.0361328125,0.0045166015625,0.43243243243243246,0.0,1.0,0.7445581890642643,True,"{'tile_m': '1', 'tile_n': '32', 'tile_k': '8'}"
1.0,8.0,16.0,64.0,512.0,32.0,608.0,0.0185546875,0.0023193359375,0.42105263157894735,0.0,1.0,0.8136713020503521,True,"{'tile_m': '1', 'tile_n': '8', 'tile_k': '16'}"
4.0,64.0,1.0,16.0,256.0,1024.0,1296.0,0.03955078125,0.00494384765625,0.3950617283950617,0.0,1.0,0.7500123865902424,True,"{'tile_m': '4', 'tile_n': '64', 'tile_k': '1'}"
1.0,4.0,8.0,32.0,128.0,16.0,176.0,0.00537109375,0.00067138671875,0.36363636363636365,0.0,0.0,0.859994400292635,True,"{'tile_m': '1', 'tile_n': '4', 'tile_k': '8'}"
8.0,32.0,1.0,32.0,128.0,1024.0,1184.0,0.0361328125,0.0045166015625,0.43243243243243246,1.0,1.0,0.8227823376655579,True,"{'tile_m': '8', 'tile_n': '32', 'tile_k': '1'}"
1.0,8.0,8.0,32.0,256.0,32.0,320.0,0.009765625,0.001220703125,0.4,0.0,1.0,0.8251673504710197,True,"{'tile_m': '1', 'tile_n': '8', 'tile_k': '8'}"
4.0,4.0,1.0,16.0,16.0,64.0,96.0,0.0029296875,0.0003662109375,0.3333333333333333,0.0,0.0,0.7825882881879807,True,"{'tile_m': '4', 'tile_n': '4', 'tile_k': '1'}"
4.0,8.0,1.0,16.0,32.0,128.0,176.0,0.00537109375,0.00067138671875,0.36363636363636365,0.0,1.0,0.7466224282979965,True,"{'tile_m': '4', 'tile_n': '8', 'tile_k': '1'}"
4.0,16.0,1.0,16.0,64.0,256.0,336.0,0.01025390625,0.00128173828125,0.38095238095238093,0.0,1.0,0.8134343661367893,True,"{'tile_m': '4', 'tile_n': '16', 'tile_k': '1'}"
