tile_m,tile_n,tile_k,tile_a_bytes,tile_b_bytes,tile_c_bytes,total_tile_bytes,tile_bytes_over_l1,dual_buffered_bytes_over_l1,arithmetic_intensity,objective,valid,candidate
32.0,35.0,17.0,4352.0,4760.0,8960.0,18072.0,0.13787841796875,0.2757568359375,2.1071270473660912,1870141.0,True,"{'tile_m': '32', 'tile_n': '35', 'tile_k': '17'}"
48.0,27.0,30.0,11520.0,6480.0,10368.0,28368.0,0.2164306640625,0.432861328125,2.7411167512690353,1317206.0,True,"{'tile_m': '48', 'tile_n': '27', 'tile_k': '30'}"
16.0,28.0,32.0,4096.0,7168.0,3584.0,14848.0,0.11328125,0.2265625,1.9310344827586208,1397672.0,True,"{'tile_m': '16', 'tile_n': '28', 'tile_k': '32'}"
48.0,31.0,46.0,17664.0,11408.0,11904.0,40976.0,0.3126220703125,0.625244140625,3.340882467786021,2128054.0,True,"{'tile_m': '48', 'tile_n': '31', 'tile_k': '46'}"
48.0,36.0,39.0,14976.0,11232.0,13824.0,40032.0,0.305419921875,0.61083984375,3.366906474820144,1127272.0,True,"{'tile_m': '48', 'tile_n': '36', 'tile_k': '39'}"
40.0,24.0,45.0,14400.0,8640.0,7680.0,30720.0,0.234375,0.46875,2.8125,1203352.0,True,"{'tile_m': '40', 'tile_n': '24', 'tile_k': '45'}"
16.0,42.0,45.0,5760.0,15120.0,5376.0,26256.0,0.2003173828125,0.400634765625,2.303473491773309,1269358.0,True,"{'tile_m': '16', 'tile_n': '42', 'tile_k': '45'}"
40.0,33.0,31.0,9920.0,8184.0,10560.0,28664.0,0.21868896484375,0.4373779296875,2.8551493162154618,1379265.0,True,"{'tile_m': '40', 'tile_n': '33', 'tile_k': '31'}"
48.0,32.0,44.0,16896.0,11264.0,12288.0,40448.0,0.30859375,0.6171875,3.3417721518987342,988783.0,True,"{'tile_m': '48', 'tile_n': '32', 'tile_k': '44'}"
24.0,23.0,36.0,6912.0,6624.0,4416.0,17952.0,0.136962890625,0.27392578125,2.213903743315508,2439280.0,True,"{'tile_m': '24', 'tile_n': '23', 'tile_k': '36'}"
16.0,34.0,16.0,2048.0,4352.0,4352.0,10752.0,0.08203125,0.1640625,1.619047619047619,2195824.0,True,"{'tile_m': '16', 'tile_n': '34', 'tile_k': '16'}"
24.0,36.0,47.0,9024.0,13536.0,6912.0,29472.0,0.224853515625,0.44970703125,2.755700325732899,1168036.0,True,"{'tile_m': '24', 'tile_n': '36', 'tile_k': '47'}"
48.0,32.0,47.0,18048.0,12032.0,12288.0,42368.0,0.3232421875,0.646484375,3.40785498489426,1018614.0,True,"{'tile_m': '48', 'tile_n': '32', 'tile_k': '47'}"
